RegNo,Place
DL14,"Sonipat due to the NCR, effectively situated in Haryana"
DL15,"Gurgaon due to the NCR, effectively situated in Haryana"
DL16,"Faridabad due to the NCR, effectively situated in Haryana"
DL17,"Noida due to the NCR, effectively situated in Uttar Pradesh"
DL18,"Ghaziabad due to the NCR, effectively situated in Uttar Pradesh"
DL1L,Delhi for trucks
DL1N,Delhi for nonresident Indians
DL1P,Delhi for commercial buses
DL1R,Delhi for auto rickshaws and radio taxis
DL1T,Delhi for commercial taxis
DL1Y,Delhi for commercial private taxis
DN09,Silvassa
GA01,Panaji
GA02,Margao
GA03,Mapusa
GA04,Bicholim
GA05,Ponda
GA06,Vasco da Gama
GA07,Panaji
GA08,Margao
GA09,Quepem
GA10,Canacona
GA11,Pernem
GJ01,Ahmedabad
GJ02,Mehsana
GJ03,Rajkot
GJ04,Bhavnagar
GJ05,Surat
GJ06,Vadodara
GJ07,Kheda
GJ08,Palanpur
GJ09,Sabarkantha
GJ10,Jamnagar
GJ11,Junagadh
GJ12,Kutch
GJ13,Surendranagar
GJ14,Amreli
GJ15,Valsad
GJ16,Bharuch
GJ17,Panchmahal (Godhara)
GJ18,Gandhinagar
GJ19,Bardoli
GJ20,Dahod
GJ21,Navsari
GJ22,Narmada
GJ23,Anand
GJ24,Patan
GJ25,Porbandar
GJ26,Vyara
GJ27,East Ahmedabad
GJ28,West Surat
GJ29,Vadodara rural
GJ30,East Rajkot
HP01 & HP02,Shimla  Urban (tourist buses & taxis)
HP03,Shimla  Urban
HP04,Dharamsala (autorikshaws)
HP05,Mandi (autorikshaws)
HP06,Rampur Bushar
HP07,Shimla
HP08,Chaupal
HP09,Theog
HP10,Rohru
HP11,Arki
HP12,Nalagarh
HP13,Kandaghat
HP14,Solan
HP15,Parwanoo
HP16,Rajgarh
HP17,Paonta Sahib
HP18,Nahan
HP19,Amb
HP20,Una
HP21,Barsar
HP22,Hamirpur
HP23,Ghumarwin
HP24,Bilaspur
HP25,Kalpa
HP26,Nichar (Bhaba Nagar)
HP27,Pooh
HP28,Sarkaghat
HP29,Jogindernagar
HP30,Karsog
HP31,Sundernagar
HP32,Mandi
HP33,Mandi
HP34,Kullu
HP35,Anni
HP36,Dehra
HP37,Palampur
HP38,Nurpur
HP39,Dharamshala
HP40,Kangra
HP41,Kaza
HP42,Keylong
HP43,Udaipur
HP44,Churah
HP45,Pangi
HP46,Bharmour
HP47,Dalhousie
HP48,Chamba
HP49,Banjar
HP50,Shimla (autorikshaws)
HP51 & HP52,Shimla (rural)
HP53,Baijnath
HP54,Jawali
HP55,Nadaun / Hamirpur
HP56,Jaisinghpur
HP57,Chowari
HP58,Manali
HP62,DodraKwar
HP63,Shimla
HP64,Solan
HP65,Mandi
HP66,Kullu
HP67,Hamirpur
